PlayerName,Likes,Inj,Pos,Salary,Team,Opp,Rest,PS,USG,PER,Pace,DEff,DvP,L2FGA,L5FGA,SFGA,L2Min,L5Min,SMin,L5FP,SFP,Floor,Ceil,ProjMin,ProjFP,ProjVal,Min,FP,Value
Torrey Craig,NA,None,SG/SF,3000,DEN,@OKC,2,103,NA,NA,98,101,-2,4,4,4,12,12,12,10.6,10.6,-2.6,23.9,17,13.7,4.6,29.9,23,7.7
C.J. Williams,0,None,SG,3000,LAC,@SAS,1,94,13,10,96,102,-6,8,4,3,28,19,13,12.2,7.6,2.2,13,27,15.6,5.2,27.3,16.8,5.6
Julyan Stone,NA,None,PG/SG,3000,CHA,NYK,1,107,NA,NA,99,105,10,2,2,2,9,9,9,9.6,9.6,1,18.3,0,0,0,2.1,3.8,1.3
Jamil Wilson,2,None,SF/PF,3000,LAC,@SAS,1,94,NA,NA,96,102,-4,9,5,5,23,18,16,11.9,10.6,4,17.1,24,16.1,5.4,27.2,22.5,7.5
Tarik Black,NA,None,PF/C,3000,HOU,UTA,1,115,15,13,97,102,-1,2,1,2,8,6,8,2.5,7.8,-0.3,15.9,14,12,4,3.5,-1,-0.3
Willie Reed,NA,None,C,3000,LAC,@SAS,1,94,17,21,96,102,-4,1,1,3,3,6,10,4,9.5,2.2,16.8,0,0,0,13.6,19.5,6.5
Kay Felder,NA,None,PG,3000,CHI,PHI,2,104,NA,NA,103,104,5,2,2,5,4,4,10,4.2,7.5,1.2,13.8,0,0,0,0,0,0
Andrew Bogut,NA,None,C,3000,LAL,GSW,3,106,NA,NA,103,101,3,2,1,1,8,6,8,5.1,7.5,1,14,0,0,0,0,0,0
Josh Hart,NA,None,PG/SG,3000,LAL,GSW,3,106,10,9,103,101,-4,6,3,3,22,16,15,10.5,9.6,1.9,17.4,10,6.9,2.3,19.1,10,3.3
Johnathan Motley,NA,None,PF/C,3000,DAL,PHO,1,108,NA,NA,104,109,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Royce O'Neale,NA,None,SF,3000,UTA,@HOU,1,103,14,11,102,102,7,3,3,2,7,12,12,7,7.3,-1.6,16.2,0,0,0,2.2,1.3,0.4
Cristiano Felicio,NA,None,PF/C,3000,CHI,PHI,2,104,11,11,103,104,1,5,3,3,14,13,15,7.5,9.3,4.7,13.8,0,0,0,0,0,0
Corey Brewer,NA,None,SG/SF,3000,LAL,GSW,3,106,11,8,103,101,3,2,1,2,9,7,11,3.3,6.7,1.1,12.3,0,0,0,6.1,4.3,1.4
Josh Huestis,NA,None,SF/PF,3000,OKC,DEN,1,108,12,6,100,107,-7,2,2,3,17,14,12,7.8,6.7,2.3,11,11.5,8.2,2.7,13.3,6.8,2.3
Derrick White,NA,None,PG,3000,SAS,LAC,1,106,NA,NA,99,107,-3,1,1,1,4,7,7,5.1,4.8,-0.2,9.7,0,0,0,0,0,0
Joffrey Lauvergne,NA,None,PF/C,3000,SAS,LAC,1,106,NA,NA,99,107,-1,5,5,4,14,14,11,14.6,10.2,3.5,16.9,0,0,0,3.9,3.3,1.1
Quincy Pondexter,NA,None,SG/SF,3000,CHI,PHI,2,104,NA,NA,103,104,4,1,1,3,4,5,10,1.3,5.8,0.2,11.3,0,0,0,0,0,0
Danuel House,NA,None,SG/SF,3000,PHO,@DAL,1,101,NA,NA,97,106,-3,3,3,3,17,15,15,5.8,5.8,2.1,9.6,15.5,7.9,2.6,12.6,7.8,2.6
Johnny O'Bryant III,NA,None,PF/C,3000,CHA,NYK,1,107,NA,NA,99,105,-7,5,5,4,8,8,9,10.3,8.9,1.2,16.6,0,0,0,16.1,18.3,6.1
